300143673	https://www.eeo.cn/s/a/?cid=300143673	王晓顺 数学的在线课堂	Teacher: 166****7618	试讲
300145483	https://www.eeo.cn/s/a/?cid=300145483	Sunny的在线课堂	Teacher: 156****8731	Dora&Orange-pu1-1V4
300145491	https://www.eeo.cn/s/a/?cid=300145491	口语训练营	Teacher: Robinson Ling	Aaron 1:05
300145501	https://www.eeo.cn/s/a/?cid=300145501	Happy planet	Teacher: Cherry -80-M4-楚宝妈	Hugo5831浙江-Cherry
300145513	https://www.eeo.cn/s/a/?cid=300145513	STEM蒸汽教育	Teacher: 189****7943	党艺方Yifang CST_Jenny老师 PST
300145517	https://www.eeo.cn/s/a/?cid=300145517	25KidsClub	Teacher: 540***23	Daisy6SH classroom
300145735	https://www.eeo.cn/s/a/?cid=300145735	Free Talk World	Teacher: 大大2	Tank8上海/Teacher Nor 一诺
300145745	https://www.eeo.cn/s/a/?cid=300145745	无忧伴学	Teacher: 赵庆雨	宋梓萱试听课程11089班
300145747	https://www.eeo.cn/s/a/?cid=300145747	学练教育	Teacher: 学练教育	徐子宸 - 化学张老师1v1课程
300145761	https://www.eeo.cn/s/a/?cid=300145761	Liora的在线课堂	Teacher: 199****2163	111
300145791	https://www.eeo.cn/s/a/?cid=300145791	魏烨—椰子老师的在线课堂	Teacher: 134****2118	正式生—香港—李亦朗Justin-普通话—7岁
300145799	https://www.eeo.cn/s/a/?cid=300145799	临海市大洋中心校	Teacher: 132****0109	四6班
300145933	https://www.eeo.cn/s/a/?cid=300145933	Angela英语在线课堂	Teacher: Angela	六年级–新概念试听
300145983	https://www.eeo.cn/s/a/?cid=300145983	17657326237的在线课堂	Teacher: 176****6237	211
300146079	https://www.eeo.cn/s/a/?cid=300146079	Free Talk World	Teacher: 大大2	Summer10岁山东 /Teacher Nor
300146099	https://www.eeo.cn/s/a/?cid=300146099	云趣教育	Teacher: 云趣教育-黄老师	胡毅诚—六年级语文—陈红明—试听课1
300146163	https://www.eeo.cn/s/a/?cid=300146163	047-Shiney online classroom	Teacher: 963****719	Applicants
300146339	https://www.eeo.cn/s/a/?cid=300146339	Free Talk World	Teacher: 大大2	ELLEN2018南京 /Teacher Nor 一诺
300146357	https://www.eeo.cn/s/a/?cid=300146357	萌知原版英语	Teacher: 王璇	3.15章宇航 PU1 试听rosee 11:00-11;30
300146393	https://www.eeo.cn/s/a/?cid=300146393	开心老师的在线课堂	Teacher: 153****7051	于梓宸学霸计划训练营
300146395	https://www.eeo.cn/s/a/?cid=300146395	Teacher Naya 2 online classroom	Teacher: 920****772	ZOE
300146397	https://www.eeo.cn/s/a/?cid=300146397	₍ᐢ..ᐢ₎清醒小岛🐰的在线课堂	Teacher: 136****5629	圈圈
300146409	https://www.eeo.cn/s/a/?cid=300146409	初中语文_曹光辉的在线课堂	Teacher: 176****0939	春季-1A-宏志A＋
300146413	https://www.eeo.cn/s/a/?cid=300146413	Sino-bus	Teacher: Sino-bus 顧問Yuki	英文試聽課-HK-P5-Kelkey
300146451	https://www.eeo.cn/s/a/?cid=300146451	Free Talk World	Teacher: 大大2	introductionSchool Intro
300146471	https://www.eeo.cn/s/a/?cid=300146471	初中语文_曹光辉的在线课堂	Teacher: 176****0939	春季-1C-志趣A＋
300146489	https://www.eeo.cn/s/a/?cid=300146489	Buddy Up	Teacher: Buddy Up班主任	Teacher Faith-Ariel 6 北京
300146495	https://www.eeo.cn/s/a/?cid=300146495	云趣教育	Teacher: 云趣教育-黄老师	乐子源—初一历史—于泰民—试听课1
300146503	https://www.eeo.cn/s/a/?cid=300146503	【正常】杭州青少年活动中心	Teacher: 来天	N1B1-01
300146505	https://www.eeo.cn/s/a/?cid=300146505	徐满的在线课堂	Teacher: 132****4257	老徐五年级春季周五晚
300146543	https://www.eeo.cn/s/a/?cid=300146543	初中语文_曹光辉的在线课堂	Teacher: 176****0939	春季-1D-宏志A
300146589	https://www.eeo.cn/s/a/?cid=300146589	徐满的在线课堂	Teacher: 132****4257	老徐五年级春季1A
300146609	https://www.eeo.cn/s/a/?cid=300146609	English	Teacher: Lisa	William's Demo
300146633	https://www.eeo.cn/s/a/?cid=300146633	初中语文_曹光辉的在线课堂	Teacher: 176****0939	春季-2A-宏志A＋
300146637	https://www.eeo.cn/s/a/?cid=300146637	徐满的在线课堂	Teacher: 132****4257	老徐五年级春季1C
300146655	https://www.eeo.cn/s/a/?cid=300146655	张晓剑老师呀的在线课堂	Teacher: 134****3895	四年级少年Ａ班春季作业提交群
300146723	https://www.eeo.cn/s/a/?cid=300146723	15805052068的在线课堂	Teacher: 158****2068	123
300146733	https://www.eeo.cn/s/a/?cid=300146733	徐满的在线课堂	Teacher: 132****4257	老徐五年级春季1D
300146753	https://www.eeo.cn/s/a/?cid=300146753	徐满的在线课堂	Teacher: 132****4257	老徐五年级春季2A
300146765	https://www.eeo.cn/s/a/?cid=300146765	徐满的在线课堂	Teacher: 132****4257	老徐五年级春季2B
300146781	https://www.eeo.cn/s/a/?cid=300146781	无忧伴学	Teacher: 赵庆雨	琪琪试听课程11090班
300146789	https://www.eeo.cn/s/a/?cid=300146789	EEO-TEST-张润成	Teacher: 张润成	思考乐总部&classin技术对接
300146817	https://www.eeo.cn/s/a/?cid=300146817	米菲儿的在线课堂	Teacher: 菲	1V1小学一年级数学
300146819	https://www.eeo.cn/s/a/?cid=300146819	北京语言大学继续教育学院外语部	Teacher: 138****2941	20260313FCE（U5-8）周五晚班
300146849	https://www.eeo.cn/s/a/?cid=300146849	19102611859的在线课堂	Teacher: 191****1859	无
300146863	https://www.eeo.cn/s/a/?cid=300146863	小羊老师的在线课堂	Teacher: 159****8207	2A春季作业提交群
300146869	https://www.eeo.cn/s/a/?cid=300146869	实习项目组	Teacher: 【教务】-王老师	李修如-软件开发-Leo
300146875	https://www.eeo.cn/s/a/?cid=300146875	Regina Andrea online classroom	Teacher: ta*****il.com	Dr. TAng's daughter Level 0 Unit 1 Lesson 1
300146877	https://www.eeo.cn/s/a/?cid=300146877	北京市昌平区成人教育中心	Teacher: 郭鹏飞	26春形势与政策
300146901	https://www.eeo.cn/s/a/?cid=300146901	小羊老师的在线课堂	Teacher: 159****8207	2C春季作业提交群
300146985	https://www.eeo.cn/s/a/?cid=300146985	青松欣欣	Teacher: Hans	qs1329UTS-26134-课程辅导
300147109	https://www.eeo.cn/s/a/?cid=300147109	STEM蒸汽教育	Teacher: STEM-TA-Selena	杨文静AEDT_Monday老师AEDT
300147149	https://www.eeo.cn/s/a/?cid=300147149	李长笑的在线课堂	Teacher: 173****7401	英语
300147265	https://www.eeo.cn/s/a/?cid=300147265	华东师范大学江阴实验学校	Teacher: 施卜阳	测试
300147389	https://www.eeo.cn/s/a/?cid=300147389	Dale online classroom	Teacher: purestock*****tmail.com	Ola Class
300147441	https://www.eeo.cn/s/a/?cid=300147441	米菲儿的在线课堂	Teacher: 菲	1V1小学六年级英语班
300147459	https://www.eeo.cn/s/a/?cid=300147459	上海市进才中学	Teacher: 王明友	英语免修
300147479	https://www.eeo.cn/s/a/?cid=300147479	晓禾教育	Teacher: 班级组	T4八年级益智素养创新S和创新S+
300147517	https://www.eeo.cn/s/a/?cid=300147517	Karen Y. online classroom	Teacher: 487****00	OC阅读理解特训班
300147551	https://www.eeo.cn/s/a/?cid=300147551	Leonardo 辛乐天的在线课堂	Teacher: 155****9182	Classin功能培训
300147553	https://www.eeo.cn/s/a/?cid=300147553	上海唯寻教育科技有限公司	Teacher: 刘月	梁心语-JL论文赛事指导（2000词内）-260310-1051
300147555	https://www.eeo.cn/s/a/?cid=300147555	Sino-bus	Teacher: Sino-bus輔導老師Shirmay	英語正式課-HK-P4(L1)-Richard
300147753	https://www.eeo.cn/s/a/?cid=300147753	薛景之的在线课堂	Teacher: 177****6321	天天听音乐团体
300147757	https://www.eeo.cn/s/a/?cid=300147757	肖照明的在线课堂	Teacher: 139****4715	26春高一（1）班
300147783	https://www.eeo.cn/s/a/?cid=300147783	Bykov 亚熔	Teacher: 180****0710	Lucy
300147799	https://www.eeo.cn/s/a/?cid=300147799	Sino-bus	Teacher: 张荣霞	英文試聼課HK -P5-Ethan
300147801	https://www.eeo.cn/s/a/?cid=300147801	英语外教口语学习课堂	Teacher: tony	Jason/刘嘉瑞 5819 With Kauthar
300147827	https://www.eeo.cn/s/a/?cid=300147827	Skylark English	Teacher: Skylark 01	LB4-11-45
300147839	https://www.eeo.cn/s/a/?cid=300147839	Leo6SH的在线课堂	Teacher: 177****8323	aa
300147841	https://www.eeo.cn/s/a/?cid=300147841	celine1006的在线课堂	Teacher: 180****8556	2502 班
300147843	https://www.eeo.cn/s/a/?cid=300147843	Edukasyon	Teacher: Edge Admin	RL LN1unit2 lesson1(Start here)-Daniel LL
300147905	https://www.eeo.cn/s/a/?cid=300147905	晓禾教育	Teacher: 班级组	T4九年级益智素养中考冲刺班
300147935	https://www.eeo.cn/s/a/?cid=300147935	勤学雅问	Teacher: 郑雯雯	【26春周六10:00】Basic-0阶（拼音）
300147937	https://www.eeo.cn/s/a/?cid=300147937	无忧伴学	Teacher: 赵庆雨	辰辰试听课程11091班
300147961	https://www.eeo.cn/s/a/?cid=300147961	Dale online classroom	Teacher: purestock*****tmail.com	Molly Class
300147973	https://www.eeo.cn/s/a/?cid=300147973	EEO-TEST-袁志成	Teacher: 150****2876	葛璐琦
300148007	https://www.eeo.cn/s/a/?cid=300148007	槐荫的在线课堂	Teacher: 147****1134	文贞
300148023	https://www.eeo.cn/s/a/?cid=300148023	LF English	Teacher: Lisa	上大-Li
300148145	https://www.eeo.cn/s/a/?cid=300148145	Sino-bus	Teacher: 顾问-陈学韵	中文試聽課HK-P4
300148167	https://www.eeo.cn/s/a/?cid=300148167	博学在线	Teacher: 初高中化学刘老师	启翧-高一化学陪跑5.31-6.31
300148181	https://www.eeo.cn/s/a/?cid=300148181	1 对 1	Teacher: 课程顾问王小艳	顾修源-王老师数学课
300148225	https://www.eeo.cn/s/a/?cid=300148225	Teacher Jenilyn online classroom	Teacher: 995****264	demo
300148235	https://www.eeo.cn/s/a/?cid=300148235	15577132544的在线课堂	Teacher: 155****2544	高3（8）班
300148245	https://www.eeo.cn/s/a/?cid=300148245	英语外教口语学习课堂	Teacher: tony	Judy Class
300148259	https://www.eeo.cn/s/a/?cid=300148259	肖照明的在线课堂	Teacher: 139****4715	26春高二（1）班
300148453	https://www.eeo.cn/s/a/?cid=300148453	32224*****sp.edu online classroom	Teacher: 32*****p.edu.hk	糖晴的女孩研究所
300148537	https://www.eeo.cn/s/a/?cid=300148537	STEM蒸汽教育	Teacher: Elaine李心怡	申佳冉_Jason老师
300148549	https://www.eeo.cn/s/a/?cid=300148549	文思中文	Teacher: 橙子老师	杨凯莉、蔡杨凯迩 文思中文课堂40分钟试听课-3.10
300148603	https://www.eeo.cn/s/a/?cid=300148603	Daniel的在线课堂	Teacher: 131****0945	759号Ella老师工作群
300148607	https://www.eeo.cn/s/a/?cid=300148607	Sino-bus	Teacher: 顾问-陈学韵	英文試聽課HK-Leo-P3
300148621	https://www.eeo.cn/s/a/?cid=300148621	1 对 1	Teacher: 课程顾问何程	瑶瑶数学课
300148635	https://www.eeo.cn/s/a/?cid=300148635	INHANA英翰	Teacher: 徐孟秋	2026春季LAMDA戏剧表演课-周三班
300148653	https://www.eeo.cn/s/a/?cid=300148653	Sino-bus	Teacher: Sino-Bus輔導Yomi老師	英文正式課HK-P3-Selina
300148659	https://www.eeo.cn/s/a/?cid=300148659	肖照明的在线课堂	Teacher: 139****4715	26春高一（2）班
300148663	https://www.eeo.cn/s/a/?cid=300148663	Monkey Tutoring	Teacher: Master Account	L1-V-543(1-1)
300148691	https://www.eeo.cn/s/a/?cid=300148691	晨阳的在线课堂	Teacher: 137****4724	Jamie老师六点课程
300148851	https://www.eeo.cn/s/a/?cid=300148851	广州思跃培优	Teacher: 陈奕希	26春季初一S周中加餐
300148855	https://www.eeo.cn/s/a/?cid=300148855	L+028弗兰克的在线课堂	Teacher: 198****8751	医学汉语4 Medical Chinese IV
300148873	https://www.eeo.cn/s/a/?cid=300148873	Sino-bus	Teacher: 顾问kian（马存志）)	英語試聽課-HK-L4-IAN
300148899	https://www.eeo.cn/s/a/?cid=300148899	空山新雨	Teacher: 廖婷婷	【26春周日13:30】Theatre（1级）
300148917	https://www.eeo.cn/s/a/?cid=300148917	肖照明的在线课堂	Teacher: 139****4715	26春高二（2）班
300148939	https://www.eeo.cn/s/a/?cid=300148939	TeacherPhoebe online classroom	Teacher: ph*****il.com	TeacherPhoebe
300148955	https://www.eeo.cn/s/a/?cid=300148955	Gene 431835 Gene的在线课堂	Teacher: 159****1835	12
300148957	https://www.eeo.cn/s/a/?cid=300148957	1 对 1	Teacher: 课程顾问郭倩雯	程伊诺-石老师数学课
300149011	https://www.eeo.cn/s/a/?cid=300149011	Shaira online classroom	Teacher: 960****071	Trial
300149013	https://www.eeo.cn/s/a/?cid=300149013	MiMi Talk	Teacher: 143 Febie费比	Teacher febie & ★Emily3171
300149033	https://www.eeo.cn/s/a/?cid=300149033	中国青少年发展基金会	Teacher: 159****0612	26年青基会×快乐音乐
300149037	https://www.eeo.cn/s/a/?cid=300149037	萌知原版英语	Teacher: 赵老师	Tiffany&Iris&Lydia&Eason-Think1-1v4
300149041	https://www.eeo.cn/s/a/?cid=300149041	merillpcr*****ail.com online classroom	Teacher: me*****il.com	Teacher Merill
300149063	https://www.eeo.cn/s/a/?cid=300149063	DavidWong的在线课堂	Teacher: 189****1422	Aimee
300149093	https://www.eeo.cn/s/a/?cid=300149093	以伴云陪伴计划	Teacher: 李祖年	以伴云陪伴计划——陈桂珍老师（董嘉轩学生）
300149109	https://www.eeo.cn/s/a/?cid=300149109	在线课程	Teacher: 张紫依	2026春季1年级复习课(A3、A4)
300149127	https://www.eeo.cn/s/a/?cid=300149127	C的在线课堂	Teacher: 131****3904	传媒附小信息+社团
300149241	https://www.eeo.cn/s/a/?cid=300149241	celine1006的在线课堂	Teacher: 180****8556	2503 班
300149247	https://www.eeo.cn/s/a/?cid=300149247	甘肃省电化教育中心	Teacher: 马素琼_康乐县新治街小学	马素琼的四4班
300149253	https://www.eeo.cn/s/a/?cid=300149253	Nina的在线课堂	Teacher: 135****0020	线上服务
300149269	https://www.eeo.cn/s/a/?cid=300149269	Ray的在线课堂	Teacher: 183****3475	Ol
300149357	https://www.eeo.cn/s/a/?cid=300149357	Vietnam Sales	Teacher: Quỳnh Trần	Lớp tiếng Anh - ACHIEVERS
300149417	https://www.eeo.cn/s/a/?cid=300149417	EEO-TEST-范思诚	Teacher: 139****2032	华师大3.10参访
300149419	https://www.eeo.cn/s/a/?cid=300149419	Teacher Cheng online classroom	Teacher: 916****562	Demo
300149451	https://www.eeo.cn/s/a/?cid=300149451	Teacher Maria online classroom	Teacher: ma*****il.com	TEACHER MARIA DEMO
300149477	https://www.eeo.cn/s/a/?cid=300149477	EEO-TEST-赵健聪	Teacher: 157****6851	北京第二十五中学儒家文化专题课程
300149507	https://www.eeo.cn/s/a/?cid=300149507	无忧伴学	Teacher: 赵庆雨	张文涵试听课程11092班
300149567	https://www.eeo.cn/s/a/?cid=300149567	梁老师奇点数学	Teacher: 188****7537	2026春季 六年级自招班--七宝
300149573	https://www.eeo.cn/s/a/?cid=300149573	卓越教育 Catalyst Edu	Teacher: CLASSIN 4	Y2 SC - 3rd week
300149575	https://www.eeo.cn/s/a/?cid=300149575	Cate的在线课堂	Teacher: 156****3146	Cervine 26春季
300149579	https://www.eeo.cn/s/a/?cid=300149579	alphacannybo*****ail.com online classroom	Teacher: al*****il.com	Ms. Diệu Hoa's Class
300149587	https://www.eeo.cn/s/a/?cid=300149587	萌知原版英语	Teacher: 辛老师	高呈宇&Elsa-PU0-1v2
300149601	https://www.eeo.cn/s/a/?cid=300149601	1 对 1	Teacher: 课程顾问王小艳	【试听】顾修源语文课
300149609	https://www.eeo.cn/s/a/?cid=300149609	华珠博雅书院	Teacher: 钟觅	雅思听口—25级7班
300149613	https://www.eeo.cn/s/a/?cid=300149613	Teacher Grace online classroom	Teacher: lo*****il.com	Teacher Grace and Miley
300149615	https://www.eeo.cn/s/a/?cid=300149615	宽宽老师的在线课堂	Teacher: 181****2572	GESP考级班
300149629	https://www.eeo.cn/s/a/?cid=300149629	单词面包	Teacher: 司马艳丽	【姜琳梓】单词面包1v1线上训练室
300149675	https://www.eeo.cn/s/a/?cid=300149675	mailantran20*****ail.com online classroom	Teacher: ma*****il.com	Quốc Thái
300149723	https://www.eeo.cn/s/a/?cid=300149723	广州思跃培优	Teacher: 韦银晶	26春MKA冲刺班周中加餐
300149733	https://www.eeo.cn/s/a/?cid=300149733	EEO-TEST-沈阳沈阳	Teacher: classin-沈阳	视频测试
300149795	https://www.eeo.cn/s/a/?cid=300149795	冰茹的在线课堂	Teacher: 176****4139	口语练习小组
300149799	https://www.eeo.cn/s/a/?cid=300149799	Sino-bus	Teacher: Sino-Bus輔導晶晶	(HK)-P2-梓朗-SinoBus正式課
300149801	https://www.eeo.cn/s/a/?cid=300149801	芮锦潍的在线课堂	Teacher: 186****0107	话
300149821	https://www.eeo.cn/s/a/?cid=300149821	青青禾苗	Teacher: 趣芽Iris老师	无
300149837	https://www.eeo.cn/s/a/?cid=300149837	floremieborina*****ail.c online classroom	Teacher: floremieborina*****ail.c	demo
300149855	https://www.eeo.cn/s/a/?cid=300149855	EEO-TEST-赵凯怡	Teacher: 158****8724	新疆魏老师
300149861	https://www.eeo.cn/s/a/?cid=300149861	在线课堂	Teacher: 李	Enki德语教室
300149863	https://www.eeo.cn/s/a/?cid=300149863	蓝天科技	Teacher: ***	吴星宜-202507010030-多元思维-诊断服务课
300149873	https://www.eeo.cn/s/a/?cid=300149873	上海外国语大学	Teacher: 秦文	【教创赛】秦文《思想道德与法治》国别202 周五 3月20日14：00-16：00
300149879	https://www.eeo.cn/s/a/?cid=300149879	韦银晶的在线课堂	Teacher: 159****8786	26春MKA冲刺班
300149887	https://www.eeo.cn/s/a/?cid=300149887	好好的在线课堂	Teacher: 151****0617	好好
300149935	https://www.eeo.cn/s/a/?cid=300149935	Lucky的在线课堂	Teacher: 188****2989	X
300149955	https://www.eeo.cn/s/a/?cid=300149955	Dreamline	Teacher: 客服	25 Sep. ECO (3班)
300149989	https://www.eeo.cn/s/a/?cid=300149989	小叮做事小叮当的在线课堂	Teacher: 138****4392	冲115班作业订正
300149991	https://www.eeo.cn/s/a/?cid=300149991	18515947305的在线课堂	Teacher: 185****7305	陈老师
300149995	https://www.eeo.cn/s/a/?cid=300149995	英语外教口语学习课堂	Teacher: tony	Chocolate Class 1v1专属 Aytan老师
300150005	https://www.eeo.cn/s/a/?cid=300150005	Class In	Teacher: 学管Yesenia	20260309220
300150017	https://www.eeo.cn/s/a/?cid=300150017	小叮做事小叮当的在线课堂	Teacher: 138****4392	冲105班作业订正
300150025	https://www.eeo.cn/s/a/?cid=300150025	上海外国语大学	Teacher: 何晖	【教创赛】何晖《汉语写作II》国别202 周三 3月18日14：30-16：30
300150035	https://www.eeo.cn/s/a/?cid=300150035	华珠博雅书院	Teacher: 卜雨欣	25级雅思听口20班
300150049	https://www.eeo.cn/s/a/?cid=300150049	EEO-TEST-李晓薇	Teacher: 121****0750	1
300150065	https://www.eeo.cn/s/a/?cid=300150065	华珠博雅书院	Teacher: 卜雨欣	25级雅思听口21班
300150069	https://www.eeo.cn/s/a/?cid=300150069	华珠博雅书院	Teacher: 卜雨欣	25级雅思听口22班
300150075	https://www.eeo.cn/s/a/?cid=300150075	Teacher Mayo 🌸 online classroom	Teacher: ma*****il.com	Demo
300150077	https://www.eeo.cn/s/a/?cid=300150077	王日辉Adam的在线课堂	Teacher: 177****7101	测试
300150081	https://www.eeo.cn/s/a/?cid=300150081	lhenleidelossantospe**** online classroom	Teacher: lh*****oo.com	Adel
300150085	https://www.eeo.cn/s/a/?cid=300150085	梁老师奇点数学	Teacher: 188****7537	无
300150125	https://www.eeo.cn/s/a/?cid=300150125	EEO-TEST-李晓薇	Teacher: 121****0750	2
300150127	https://www.eeo.cn/s/a/?cid=300150127	谢新雨的测试	Teacher: 156****5654	口令测试
300150129	https://www.eeo.cn/s/a/?cid=300150129	Hao2018 online classroom	Teacher: 916****33	haha
300150135	https://www.eeo.cn/s/a/?cid=300150135	EEO-TEST-李晓薇	Teacher: 121****0750	1
300150137	https://www.eeo.cn/s/a/?cid=300150137	EEO-TEST-李晓薇	Teacher: 121****0750	2
300150139	https://www.eeo.cn/s/a/?cid=300150139	1 对 1	Teacher: 课程顾问赵佳琪	包栩旗数学课
300150167	https://www.eeo.cn/s/a/?cid=300150167	EEO-TEST-李晓薇	Teacher: 121****0750	3
300150175	https://www.eeo.cn/s/a/?cid=300150175	EEO-TEST-李晓薇	Teacher: 121****0750	4
300150225	https://www.eeo.cn/s/a/?cid=300150225	EEO-TEST-李晓薇	Teacher: 121****0750	1
300150239	https://www.eeo.cn/s/a/?cid=300150239	EEO-TEST-李晓薇	Teacher: 121****0750	5
300150245	https://www.eeo.cn/s/a/?cid=300150245	Hao2018 online classroom	Teacher: 916****33	hehe
300150249	https://www.eeo.cn/s/a/?cid=300150249	Grace Teacher online classroom	Teacher: 950****346	SHERRY'S CLASS
300150251	https://www.eeo.cn/s/a/?cid=300150251	EEO-TEST-李晓薇	Teacher: 121****0750	6
300150259	https://www.eeo.cn/s/a/?cid=300150259	郭宇星的在线课堂	Teacher: 135****2340	郭老师春季115周六晚上班
300150329	https://www.eeo.cn/s/a/?cid=300150329	尖子帮	Teacher: 学管刘月	26春尖子帮半全托数学-杨涛下午
300150335	https://www.eeo.cn/s/a/?cid=300150335	郭宇星的在线课堂	Teacher: 135****2340	郭老师春季115周日A
300150339	https://www.eeo.cn/s/a/?cid=300150339	1 对 1	Teacher: 课程顾问王小艳	无
300150383	https://www.eeo.cn/s/a/?cid=300150383	龙丹丹的在线课堂	Teacher: 187****1233	一一班
300150471	https://www.eeo.cn/s/a/?cid=300150471	郭宇星的在线课堂	Teacher: 135****2340	郭老师春季115周日永清B
300150475	https://www.eeo.cn/s/a/?cid=300150475	Teacher Donnis online classroom	Teacher: 903****441	Simon-English w/ Teacher Donnis
300150479	https://www.eeo.cn/s/a/?cid=300150479	Hao2018 online classroom	Teacher: 916****33	hoho
300150497	https://www.eeo.cn/s/a/?cid=300150497	郭宇星的在线课堂	Teacher: 135****2340	郭宇星春季115红桥C
300150501	https://www.eeo.cn/s/a/?cid=300150501	Lê Minh online classroom	Teacher: 333****79	IOE 5
300150503	https://www.eeo.cn/s/a/?cid=300150503	外滩咖啡英语	Teacher: Yannie	无
300150511	https://www.eeo.cn/s/a/?cid=300150511	无忧伴学	Teacher: 赵庆雨	无
300150535	https://www.eeo.cn/s/a/?cid=300150535	冼水连的在线课堂	Teacher: 178****2029	中年级
300150595	https://www.eeo.cn/s/a/?cid=300150595	Happy planet	Teacher: cecil-M20-蝴蝶	Michelle315-Cecil
300150647	https://www.eeo.cn/s/a/?cid=300150647	miss耶的在线课堂	Teacher: 150****0307	初中物理
300150721	https://www.eeo.cn/s/a/?cid=300150721	口语训练营	Teacher: Jenny ling	FANFAN
300150771	https://www.eeo.cn/s/a/?cid=300150771	Miss Liang的在线课堂	Teacher: 158****6520	Eason PET
300150821	https://www.eeo.cn/s/a/?cid=300150821	蓝天科技	Teacher: 周晓枫	吴若菲-溯源录课
300150823	https://www.eeo.cn/s/a/?cid=300150823	外滩咖啡英语	Teacher: Yannie	Nina 8
300150837	https://www.eeo.cn/s/a/?cid=300150837	春苗	Teacher: Eva2.25充值50	rebecca 51talk
300150847	https://www.eeo.cn/s/a/?cid=300150847	以伴云陪伴计划	Teacher: 李祖年	以伴云陪伴计划——李明赛老师（王柏恒学生）
300150859	https://www.eeo.cn/s/a/?cid=300150859	Micha online classroom	Teacher: m.*****.de	Mila Deutsch
300150861	https://www.eeo.cn/s/a/?cid=300150861	上海外国语大学	Teacher: 安玉莲	【教创赛】安玉莲《线性代数》国别202 周五 3月20日10：00-12：00
300150867	https://www.eeo.cn/s/a/?cid=300150867	加一老师的在线课堂	Teacher: 139****5637	1
300150881	https://www.eeo.cn/s/a/?cid=300150881	thuminhtran24*****ail.co online classroom	Teacher: thuminhtran24*****ail.co	Daisy 10.03.01
300150889	https://www.eeo.cn/s/a/?cid=300150889	Test	Teacher: 0065-20000524962	August Class
300150895	https://www.eeo.cn/s/a/?cid=300150895	Norman Chen online classroom	Teacher: no*****il.com	Test Class 1
300150905	https://www.eeo.cn/s/a/?cid=300150905	在线课程	Teacher: 向宇晴	2026春季2年级复习课(A3、A4)
300150973	https://www.eeo.cn/s/a/?cid=300150973	蓝天科技	Teacher: 梅秋圆	谢绍烜-202510310061-双语文化-诊断服务课
300151031	https://www.eeo.cn/s/a/?cid=300151031	外滩咖啡英语	Teacher: Yannie	Kiko 8
300151067	https://www.eeo.cn/s/a/?cid=300151067	Up Speak	Teacher: 菲教-Geo	079-Emily
300151079	https://www.eeo.cn/s/a/?cid=300151079	bernard.gonzales2*****ho online classroom	Teacher: be*****oo.com	Lucy's Class
300151201	https://www.eeo.cn/s/a/?cid=300151201	上海外国语大学	Teacher: 陈芷	【教创赛】陈芷《中国传统节日文化（西班牙语）》国别202 周二 3月17日8:00-10：00
300151209	https://www.eeo.cn/s/a/?cid=300151209	Up Speak	Teacher: 菲教-Geo	E083-Bella
300151233	https://www.eeo.cn/s/a/?cid=300151233	Up Speak	Teacher: 菲教-Geo	D049-Danny
300151257	https://www.eeo.cn/s/a/?cid=300151257	A学者 静老师 online classroom	Teacher: jingxuan0507*****ail.com	评估测试
300151375	https://www.eeo.cn/s/a/?cid=300151375	Up Speak	Teacher: 菲教-Geo	402-Ethan
300151377	https://www.eeo.cn/s/a/?cid=300151377	Yerry的在线课堂	Teacher: 182****9806	无
300151385	https://www.eeo.cn/s/a/?cid=300151385	正匡教育	Teacher: 高铮	刘新宇课程
300151391	https://www.eeo.cn/s/a/?cid=300151391	17670922251的在线课堂	Teacher: 176****2251	初中数学
300151395	https://www.eeo.cn/s/a/?cid=300151395	轩的在线课堂	Teacher: 177****2919	物理
300151399	https://www.eeo.cn/s/a/?cid=300151399	Up Speak	Teacher: 菲教-Geo	F111-Carol
300151413	https://www.eeo.cn/s/a/?cid=300151413	陈威帆的在线课堂	Teacher: 153****7066	2026春宏志A+小威老师班级群
300151451	https://www.eeo.cn/s/a/?cid=300151451	以伴云陪伴计划	Teacher: 李祖年	以伴云陪伴计划——岳钰涵老师（郭丁睿学生）
300151533	https://www.eeo.cn/s/a/?cid=300151533	Class In	Teacher: 学管Moon	H20260310035
300151553	https://www.eeo.cn/s/a/?cid=300151553	Met老师的在线课堂	Teacher: 185****7016	Mila and Kevin
300151573	https://www.eeo.cn/s/a/?cid=300151573	Rainbow English	Teacher: Rainbow	Steven1822 (Rowelyn)
300151615	https://www.eeo.cn/s/a/?cid=300151615	Sino-bus	Teacher: Sino-Bus 輔導Linda	HK-P3-楊政浩-Sino Bus 正式课
300151653	https://www.eeo.cn/s/a/?cid=300151653	勤福科技	Teacher: CC7751	Mango-Velly7752
300151659	https://www.eeo.cn/s/a/?cid=300151659	王弈铭的在线课堂	Teacher: 133****8871	111
300151677	https://www.eeo.cn/s/a/?cid=300151677	勤福科技	Teacher: CC7751	Serena-Velly7752
300151685	https://www.eeo.cn/s/a/?cid=300151685	勤福科技	Teacher: CC7751	Ivy-Velly7752
300151695	https://www.eeo.cn/s/a/?cid=300151695	勤福科技	Teacher: CC7751	Luke-Velly7752
300151697	https://www.eeo.cn/s/a/?cid=300151697	珍惜的在线课堂	Teacher: 152****0609	小六春
300151699	https://www.eeo.cn/s/a/?cid=300151699	以伴云陪伴计划	Teacher: 李祖年	以伴云陪伴计划——赵昊宇老师（董子熠学生）
